DIRECTORIO;TIP_FOR;P1;P1S1;P2;P2S1;P5;CTL_1;P8R;P9;P10R;P11R;P12;P13;P15R;P16S1;P16S2;P16S3;P16S4;P16S5;P16S6;P16S7;P16S8;P16S9;P17;P17S1;P17S2;P17S3;P17S4;P17S5;P17S6;P17S7;P17S8;P17S9;P17S10;P18;P19;P20;P20S1;P20S2;P20S3;P20S4;P20S5;P20S1A1;P20S2A1;P20S3A1;P20S4A1;P20S5A1;P21R;P22;P23;P23S1R;P24;P25;P26;P26S1;P26S2;P26S3;P26S4;P26S5;P26S6;P26_1;P26_2S1;P26_2S2;P26_2S3;P26_2S4;P26_2S5;P26_2S6;P26_2S7;P26_2S8;P27;P28R;P29;P30;P30S1;P30S2;P30S3;P30S4;P30S5;P30S6;P30S7;P30S8;P30S9;P30S1A1;P30S2A1;P30S3A1;P30S4A1;P30S5A1;P30S6A1;P30S7A1;P30S8A1;P30S9A1;P30_1;P30_2;P31;P32;P32S1;P32S2;P32S3;P32S4;P32S5;P32S6;P32S7;P32S8;P33;P33S1;P33S2;P33S3;P33S4;P33S5;P33S6;P33_1;P33_2;P33_2S1;P33_2S2;P33_2S3;P33_2S4;P33_2S5;P34;P35;P36R;P37S1;P37S2;P37S3;P37S4;P37S5;P37S6;P37S7;COMPLETA
111641;1;05;05001;1;10;2;1;46;1;3;1;1;2;2;4;4;2;4;4;3;4;2;4;1;;;;;;;;;1;;10;;;2;2;2;2;2;;;;;;1;7;;34;9;9;;2;2;1;1;2;2;4;;1;1;;;;;1;1;3;9;;2;1;2;2;1;2;2;2;2;;8;;;8;;;;;2;;2;;;;;;;;;;;2;2;1;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111642;1;05;05001;1;10;2;1;58;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;20;4;9;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;1;4;9;;1;1;1;2;2;1;2;2;2;18;18;18;;;18;;;;3;;1;2;;;;;;;1;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111643;1;05;05001;1;10;2;1;37;1;3;1;1;3;2;4;4;4;4;3;4;4;3;4;1;;;;;;;;;;1;1;1;;2;2;2;2;2;;;;;;1;10;;23;7;7;;2;2;1;2;2;2;3;;1;1;;;;1;1;1;4;7;;2;2;2;2;2;2;2;1;2;;;;;;;;19;;8;;1;1;;;;;;;;;;1;1;1;1;1;2;1;;1;2;1;1;1;1;;;;;;;;;;1
111644;1;05;05001;1;10;2;1;28;2;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;7;2;3;;1;1;1;2;2;2;1;1;1;1;1;;1;1;1;1;2;8;;1;2;2;1;2;1;2;1;1;7;;;9;;9;;9;9;6;1;1;2;;;;;;;1;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111645;1;05;05001;1;10;2;1;33;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;22;1;2;;2;2;1;2;2;2;3;;1;1;1;;1;1;1;1;4;7;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;;;;;;;;;;2;2;1;1;1;2;2;;2;1;2;2;1;1;;;;;;;;;;1
111646;1;05;05001;1;10;2;1;26;1;3;1;1;3;2;2;2;3;3;3;2;4;2;2;1;;;;;;;;;;1;11;;;2;2;2;2;2;;;;;;1;1;;9;4;9;;2;2;1;2;2;2;3;;1;1;1;;1;;1;1;3;9;;2;1;2;2;2;1;2;2;2;;8;;;;10;;;;2;;1;1;;;;;;;;;;1;2;1;2;1;2;1;;2;2;1;2;1;1;;;;;;;;;;1
111647;1;05;05001;1;10;2;1;34;1;3;1;1;3;2;3;4;3;4;3;4;4;4;4;1;;;;;;;;1;;;1;1;;2;2;2;2;2;;;;;;2;7;;21;9;8;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;2;1;1;;1;2;1;2;2;2;2;2;2;12;;12;;;;;;;3;;1;1;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;1;1;;;;;;;;;;1
111648;1;05;05001;1;10;2;1;70;1;5;2;1;2;2;4;4;2;3;2;4;4;4;3;1;;;;;;;;;1;;3;1;;2;2;2;2;2;;;;;;1;10;;35;9;9;;2;1;1;2;2;2;3;1;1;1;1;;;1;1;1;3;1;;2;2;1;2;2;1;2;2;2;;;28;;;48;;;;6;1;2;;;;;;;;;;;2;2;1;2;2;2;1;;2;2;2;2;1;1;;;;;;;;;;1
111649;1;05;05001;1;10;2;1;29;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;10;;2;11;2;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;1;3;9;;1;2;1;2;2;2;2;2;2;17;;20;;;;;;;1;;2;;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111650;1;05;05001;1;10;2;1;33;1;3;2;1;3;2;4;4;2;4;4;2;4;4;3;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;2;7;;5;7;1;;2;2;1;2;2;2;3;;1;1;;;;;1;1;3;5;;2;1;1;2;1;1;2;2;2;;17;18;;19;20;;;;6;2;2;;;;;;;;;;;1;2;1;1;1;2;1;;2;2;1;1;1;1;;;;;;;;;;1
